           YEAR,           JDAY,           FSIN,          FSOUT,           ALBT,           FLIN,          FLOUT,            GTE,          QSENS,           QEVP,          GZERO,             TA,           TCAN,           CMAS,           TSNO,           TPND,          TSOL1,          TSOL2,          TSOL3,             QA,             UV,           PRES,
           1980,            244,   203.6305    ,   166.4678    ,  0.1667057    ,   281.1332    ,   339.7374    ,   5.017700    ,   59.85502    ,   40.94127    ,   10.44757    ,   2.446075    ,   4.661041    ,   8.230880    ,   0.000000    , -0.3051758E-04,   4.691925    ,   2.909790    ,  0.9279175    ,  0.3944399E-02,   1.378730    ,   77306.84    ,
           1980,            245,   144.6545    ,   117.3119    ,  0.1782179    ,   268.6838    ,   319.7661    ,  0.7919922    ,   37.16122    ,   32.45649    ,  -3.911387    , -0.1557617    , -0.1337891    ,   8.245690    ,  -2.146362    , -0.6103516E-04,   1.730927    ,   2.149414    ,  0.9431152    ,  0.4298647E-02,   1.893950    ,   76961.98    ,
           1980,            246,   128.0816    ,   102.3196    ,  0.1885277    ,   286.9923    ,   321.0539    ,   1.127991    ,   24.68639    ,   40.90177    , -0.9909515    , -0.1985168    ,  0.2550964    ,   8.228507    , -0.8540344    ,  0.6103516E-04,   1.745300    ,   1.822998    ,  0.9554749    ,  0.4551760E-02,   1.512717    ,   76551.46    ,
           1980,            247,   127.0186    ,   94.64263    ,  0.2407431    ,   282.1192    ,   311.3118    , -0.9881592    ,   32.39463    ,   28.46570    ,  -3.013119    ,  -1.163147    ,  -1.443359    ,   8.268071    , -0.8912964    ,   0.000000    ,   1.140991    ,   1.685181    ,  0.9649658    ,  0.3876124E-02,   1.435160    ,   77299.59    ,
           1980,            248,   164.0052    ,   126.4376    ,  0.2172972    ,   256.7958    ,   309.7279    ,  -1.517029    ,   41.31000    ,   27.13630    ,  -3.191364    ,   1.353546    ,  -1.703461    ,   8.242345    ,  -1.629272    ,  0.6103516E-04,  0.8612061    ,   1.515259    ,  0.9734192    ,  0.4383348E-02,   2.463774    ,   77376.64    ,
           1980,            249,   241.2721    ,   189.8272    ,  0.2010311    ,   247.6565    ,   326.1281    ,   1.730133    ,   54.73689    ,   48.40375    ,   4.606167    ,   5.994110    ,   2.095581    ,   8.197689    ,  -1.926392    ,   0.000000    ,   1.630188    ,   1.241333    ,  0.9789429    ,  0.5118738E-02,   2.904207    ,   77605.55    ,
           1980,            250,   243.6847    ,   194.7641    ,  0.1888395    ,   249.2859    ,   332.7272    ,   3.125916    ,   38.88335    ,   62.37327    ,   7.270559    ,   9.726135    ,   3.935211    ,   8.145511    ,  -1.334717    ,   0.000000    ,   2.164032    ,   1.304932    ,  0.9812622    ,  0.4685102E-02,   3.914428    ,   77307.07    ,
           1980,            251,   137.6628    ,   110.4851    ,  0.1848503    ,   295.7854    ,   339.5803    ,   4.926178    ,   13.11086    ,   42.87788    ,   9.695412    ,   6.551819    ,   5.390381    ,   8.177012    , -0.1124878    ,  0.6103516E-04,   3.134216    ,   1.804260    ,  0.9851074    ,  0.5515794E-02,   2.792886    ,   77242.26    ,
           1980,            252,   241.0102    ,   194.5648    ,  0.1811044    ,   226.3581    ,   324.7537    ,   1.549133    ,   46.66634    ,   52.46178    ,  -1.599825    ,   3.211365    ,   1.187286    ,   8.266554    , -0.8751221    ,  0.6103516E-04,   2.422272    ,   2.362915    ,  0.9973755    ,  0.4012097E-02,   1.458635    ,   78421.62    ,
           1980,            253,   222.0219    ,   179.5782    ,  0.1794350    ,   241.9950    ,   331.4014    ,   2.734985    ,   31.29538    ,   52.55608    ,   5.129160    ,   8.252686    ,   2.613831    ,   8.208576    ,  -1.838196    , -0.6103516E-04,   2.605042    ,   2.217560    ,   1.012024    ,  0.3803573E-02,   1.238889    ,   78403.07    ,
           1980,            254,   228.4731    ,   184.7705    ,  0.1786970    ,   251.3836    ,   340.5227    ,   4.610535    ,   29.50498    ,   53.74816    ,   11.23128    ,   11.48035    ,   4.869019    ,   8.146232    ,  -1.034424    ,   0.000000    ,   3.509705    ,   2.415375    ,   1.024689    ,  0.3853642E-02,   1.275286    ,   77735.36    ,
           1980,            255,   177.3954    ,   143.6260    ,  0.1786121    ,   262.3283    ,   335.2411    ,   3.747437    ,   21.18770    ,   42.53037    ,   5.832674    ,   9.721222    ,   3.832092    ,   8.149000    , -0.9733887    , -0.6103516E-04,   3.440094    ,   2.955444    ,   1.041626    ,  0.4280332E-02,   1.570638    ,   77338.52    ,
           1980,            256,   75.00924    ,   60.67517    ,  0.1796922    ,   314.6838    ,   334.9838    ,   4.044373    ,   5.881330    ,   27.90491    ,   5.219278    ,   4.664276    ,   3.775452    ,   8.206775    , -0.6195068E-02,   0.000000    ,   3.907013    ,   3.381653    ,   1.063477    ,  0.6075358E-02,   1.362733    ,   77458.61    ,
           1980,            257,   133.5134    ,   100.4411    ,  0.2369602    ,   293.0886    ,   321.7868    ,   1.314728    ,   28.10298    ,   39.72726    ,  -4.685897    ,  0.3035278    ,  0.3811951    ,   8.274963    , -0.7846069E-01,  0.6103516E-04,   2.990753    ,   3.422424    ,   1.090027    ,  0.4415690E-02,   1.610944    ,   77844.29    ,
           1980,            258,   182.6498    ,   141.6453    ,  0.2176760    ,   252.3128    ,   315.7612    , -0.3997498    ,   42.17897    ,   31.31886    ,  -2.966435    ,   1.436890    , -0.5566406    ,   8.259517    ,  -1.748535    ,   0.000000    ,   1.959961    ,   2.706329    ,   1.114990    ,  0.4771465E-02,   1.379932    ,   77823.56    ,
           1980,            259,   207.2522    ,   162.2289    ,  0.2113379    ,   226.3450    ,   311.3549    ,  -1.176666    ,   49.29871    ,   34.53444    ,  -6.491505    ,  -1.024750    ,  -1.012268    ,   8.282651    ,  -1.251007    ,  0.6103516E-04,   1.460022    ,   2.188049    ,   1.129944    ,  0.3164899E-02,   2.416228    ,   77583.99    ,
           1980,            260,   156.3224    ,   122.8506    ,  0.2068689    ,   258.1844    ,   313.7700    , -0.8400269    ,   42.09039    ,   25.73961    ,  -1.555023    ,   1.657166    , -0.8822021    ,   8.228229    ,  -2.280884    ,  0.6103516E-04,  0.8661499    ,   1.944000    ,   1.143341    ,  0.4257817E-02,   2.244643    ,   77067.46    ,
           1980,            261,   66.78755    ,   52.99272    ,  0.2003948    ,   302.5817    ,   322.1755    ,   1.396820    ,   2.116024    ,   26.90532    ,   2.379190    ,   1.993774    ,   1.294830    ,   8.213382    , -0.5047607E-01,   0.000000    ,   1.264221    ,   1.049805    ,   1.146332    ,  0.5424844E-02,   2.100032    ,   76871.38    ,
           1980,            262,   104.8600    ,   80.12536    ,  0.2281150    ,   304.5169    ,   322.6638    ,   1.480988    ,   24.70567    ,   23.57564    ,   2.626964    ,  0.1777954    ,  0.7984924    ,   8.230450    , -0.1320801    ,   0.000000    ,   1.495819    ,   1.147522    ,   1.146057    ,  0.4851070E-02,  0.6569163    ,   76783.13    ,
           1980,            263,   80.17294    ,   62.01613    ,  0.2139156    ,   298.4712    ,   319.5913    ,  0.8261719    ,   15.99657    ,   19.51856    , -0.2279133    ,   1.290222    ,  0.6440430    ,   8.201569    , -0.1538086    ,  0.6103516E-04,   1.362518    ,   1.349243    ,   1.146942    ,  0.5131004E-02,   1.976416    ,   76395.45    ,
           1980,            264,   110.3986    ,   85.97832    ,  0.2090455    ,   266.4289    ,   310.3134    ,  -1.235962    ,   11.94955    ,   35.15833    ,  -3.906297    , -0.8012695    ,  -1.316254    ,   8.224960    ,  -1.022888    ,  0.6103516E-04,  0.5908203    ,   1.370667    ,   1.150391    ,  0.4124332E-02,   2.422737    ,   76342.21    ,
           1980,            265,   157.1780    ,   113.1632    ,  0.2678396    ,   252.3728    ,   300.0277    ,  -3.546692    ,   30.01253    ,   41.30249    ,  -6.638331    ,  -2.062561    ,  -3.540039    ,   8.266719    ,  -1.698120    ,   0.000000    ,  0.3555603    ,   1.089844    ,   1.151276    ,  0.3493556E-02,   2.288975    ,   77023.48    ,
           1980,            266,   163.7585    ,   119.8371    ,  0.2572975    ,   239.7309    ,   293.9008    ,  -5.100708    ,   47.43732    ,   21.08185    ,  -8.449082    ,  -2.346039    ,  -5.088501    ,   8.284442    ,  -3.383942    ,   0.000000    , -0.1068115E-01,   1.570374    ,   1.154236    ,  0.3551241E-02,   2.327940    ,   77353.76    ,
           1980,            267,   114.5339    ,   83.46914    ,  0.2584914    ,   275.4412    ,   305.4818    ,  -2.299316    ,   34.59916    ,   17.99286    ,  -2.942207    ,  -2.061859    ,  -2.470551    ,   8.284905    ,  -1.534119    ,   0.000000    , -0.5554199E-02,  0.8294678    ,   1.155975    ,  0.3682653E-02,   2.392298    ,   77486.36    ,
           1980,            268,   131.2616    ,   96.80511    ,  0.2528189    ,   240.7998    ,   295.8257    ,  -4.650452    ,   40.48707    ,   11.58625    ,  -10.13939    ,  -3.027954    ,  -4.309509    ,   8.306636    ,  -2.518707    ,  0.6103516E-04, -0.2590942E-01,  0.9466553    ,   1.152374    ,  0.3258941E-02,   1.146345    ,   77676.09    ,
           1980,            269,   156.2722    ,   116.1192    ,  0.2441089    ,   249.9495    ,   306.2594    ,  -2.375122    ,   48.48726    ,   12.02379    ,  -2.921365    ,  -2.125122    ,  -2.081451    ,   8.298121    ,  -2.391541    ,  0.9155273E-04, -0.3247070E-01,  0.9531555    ,   1.151672    ,  0.3659826E-02,  0.7959926    ,   77743.93    ,
           1980,            270,   156.8447    ,   118.4343    ,  0.2335306    ,   242.2880    ,   309.9464    ,  -1.695984    ,   32.84856    ,   16.63061    ,  -1.601661    ,   2.457397    ,  -1.000244    ,   8.234633    ,  -2.365173    ,  0.6103516E-04, -0.2685547E-02,  0.6666870    ,   1.148346    ,  0.4494322E-02,  0.8765447    ,   77542.60    ,
           1980,            271,   172.6579    ,   132.0411    ,  0.2223208    ,   258.2005    ,   322.2669    ,   1.136719    ,   34.07327    ,   24.13666    ,   7.054736    ,   4.619415    ,   1.919983    ,   8.195345    ,  -1.246826    ,  0.7019043E-03,  0.2930908    ,  0.1336365    ,   1.141388    ,  0.5095698E-02,  0.8547719    ,   77208.72    ,
           1980,            272,   161.6161    ,   125.4091    ,  0.2120107    ,   258.5149    ,   319.5348    ,  0.6137695    ,   30.55885    ,   25.50255    ,   4.999605    ,   4.223022    ,   1.003052    ,   8.191427    ,  -1.138428    ,  0.1708984E-02,  0.4590454    ,  0.1030884    ,   1.130432    ,  0.5247781E-02,   2.417676    ,   76989.95    ,
           1980,            273,   125.8814    ,   97.39890    ,  0.2144956    ,   275.0491    ,   321.0004    ,   1.096985    ,   17.66263    ,   29.88508    ,   3.488770    ,   2.568268    ,   1.462067    ,   8.216818    , -0.4359131    ,   0.000000    ,  0.6195068    ,  0.1319275    ,   1.119110    ,  0.5367686E-02,   3.112899    ,   77153.98    ,
           1980,            274,   119.7233    ,   93.45515    ,  0.2055330    ,   263.6207    ,   315.7118    , -0.1831055E-01,   15.38671    ,   30.47987    ,  -1.189991    ,  0.5791016    ,  0.4705811    ,   8.250965    , -0.4242554    ,   0.000000    ,  0.4032593    ,  0.3280945    ,   1.108582    ,  0.4279838E-02,   4.170208    ,   77359.16    ,
           1980,            275,   91.86010    ,   70.67643    ,  0.2168639    ,   253.8145    ,   302.3352    ,  -3.069580    ,   25.17034    ,   8.924857    ,  -13.23392    ,  -1.888306    ,  -3.792267    ,   8.325437    ,  -2.416321    ,  0.6103516E-04, -0.1953125E-01,  0.8022766    ,   1.101929    ,  0.3662413E-02,   1.501532    ,   78408.37    ,
           1980,            276,   170.4787    ,   132.0419    ,  0.2132958    ,   228.9675    ,   311.4000    ,  -1.344330    ,   35.71628    ,   17.48844    ,  -4.718339    ,   2.117767    ,  -1.252533    ,   8.284974    ,  -2.623901    ,  0.9155273E-04,  0.5581665E-01,  0.7671204    ,   1.099854    ,  0.4637427E-02,  0.7831154    ,   78624.52    ,
           1980,            277,   169.8796    ,   132.6263    ,  0.2071332    ,   232.6373    ,   317.7114    , -0.2239990E-01,   25.28023    ,   21.69455    , -0.7279620    ,   7.191040    ,  0.6425781    ,   8.198569    ,  -2.310913    ,   0.000000    ,  0.1914673    ,  0.4457397    ,   1.094666    ,  0.5176947E-02,   1.169227    ,   77976.70    ,
           1980,            278,   164.6924    ,   129.2413    ,  0.2030078    ,   237.0611    ,   319.3355    ,  0.4066467    ,   22.90722    ,   22.05692    ,  0.5654879    ,   7.575409    ,   1.019501    ,   8.180068    ,  -2.032257    ,   0.000000    ,  0.2767639    ,  0.3011169    ,   1.086487    ,  0.4961392E-02,   1.638961    ,   77619.29    ,
           1980,            279,   112.2650    ,   88.32950    ,  0.2034783    ,   268.9145    ,   321.7492    ,   1.126404    ,   16.57629    ,   14.04562    ,   4.213206    ,   6.133362    ,   1.666779    ,   8.217648    ,  -1.073090    ,   0.000000    ,  0.4663086    ,  0.1543884    ,   1.076569    ,  0.5066653E-02,   1.398917    ,   78135.82    ,
           1980,            280,   159.2232    ,   126.0157    ,  0.1945618    ,   242.8501    ,   324.8470    ,   1.656494    ,   6.507779    ,   27.67778    ,   5.303270    ,   8.344849    ,   2.975647    ,   8.190477    ,  -1.760468    ,   0.000000    ,  0.4728394    ,  0.4701233    ,   1.067810    ,  0.4839070E-02,   4.368784    ,   78076.20    ,
           1980,            281,   156.2326    ,   124.3940    ,  0.1897627    ,   248.4027    ,   333.0448    ,   3.556763    ,  -4.166561    ,   32.97198    ,   9.949658    ,   8.941528    ,   5.891602    ,   8.178126    , -0.6088867    , -0.3051758E-04,   1.046082    ,  0.4539795    ,   1.060791    ,  0.4701097E-02,   5.634510    ,   77890.30    ,
           1980,            282,   108.4117    ,   86.18995    ,  0.1902841    ,   257.3536    ,   318.5025    ,  0.5293579    ,   7.667160    ,   20.95282    ,  -2.174331    ,   4.069641    ,   1.092316    ,   8.213965    ,  -1.008789    ,   0.000000    ,  0.5725708    ,  0.6704102    ,   1.055054    ,  0.4104371E-02,   4.816623    ,   77388.25    ,
           1980,            283,   127.1791    ,   100.2069    ,  0.2058162    ,   203.5884    ,   295.7466    ,  -4.596100    ,   34.26916    ,   7.230822    ,  -32.14307    ,  -4.240479    ,  -6.078308    ,   8.341193    ,  -3.714417    ,   0.000000    , -0.1188965    ,  0.9688721    ,   1.051178    ,  0.2707641E-02,   1.624712    ,   78020.38    ,
           1980,            284,   120.4301    ,   94.69672    ,  0.2057961    ,   221.3432    ,   299.3840    ,  -3.904419    ,   19.85733    ,   12.26524    ,  -16.92030    , -0.4574585E-01,  -4.378601    ,   8.290566    ,  -4.656158    ,   0.000000    ,  -1.306366    ,  0.5849304    ,   1.050842    ,  0.2123930E-02,   1.481735    ,   77998.21    ,
           1980,            285,   132.9371    ,   103.9497    ,  0.2106780    ,   234.2872    ,   309.0543    ,  -1.737732    ,   18.04957    ,   17.98002    ,  -7.539999    ,   2.397003    ,  -1.869080    ,   8.229145    ,  -3.450562    , -0.3051758E-04,  -1.016327    ,  0.3027344E-01,   1.043976    ,  0.2552044E-02,  0.8568134    ,   77234.09    ,
           1980,            286,   108.3939    ,   85.09601    ,  0.2075404    ,   251.8382    ,   309.1204    ,  -1.667877    ,   15.29057    ,   15.24260    ,  -4.656328    ,   3.500793    ,  -1.742737    ,   8.188039    ,  -2.774353    ,  0.3051758E-04, -0.7786255    , -0.4623413E-01,   1.033264    ,  0.3734559E-02,   1.975868    ,   76607.82    ,
           1980,            287,   91.65466    ,   71.51376    ,  0.2122536    ,   267.4933    ,   310.9267    ,  -1.138062    ,   22.94452    ,   10.52086    ,  -5.129885    , -0.2358398    ,  -1.467743    ,   8.232652    ,  -1.383362    , -0.3051758E-04, -0.8230591E-01, -0.6723022E-01,   1.022247    ,  0.3894497E-02,   1.431928    ,   76641.43    ,
           1980,            288,   124.1552    ,   96.71223    ,  0.2116570    ,   223.9168    ,   296.7191    ,  -4.524780    ,   29.52999    ,   6.954521    ,  -13.49201    ,  -2.806641    ,  -5.169098    ,   8.283170    ,  -5.015656    ,   0.000000    ,  -1.730194    , -0.1846313E-01,   1.010590    ,  0.2889826E-02,   1.695607    ,   77066.20    ,
           1980,            289,   138.8262    ,   109.1775    ,  0.2060238    ,   200.5177    ,   292.3569    ,  -5.544495    ,   31.59501    ,   7.261688    ,  -20.41550    ,  -3.793640    ,  -5.703156    ,   8.313073    ,  -5.655426    ,  0.1596680    ,  -2.061890    , -0.6634521E-01,   1.001587    ,  0.2526032E-02,   1.956986    ,   77466.74    ,
           1980,            290,   118.3391    ,   92.56554    ,  0.2099789    ,   221.2741    ,   289.6246    ,  -6.373108    ,   25.52605    ,   8.876264    ,  -12.90948    ,  -3.418304    ,  -6.703400    ,   8.298726    ,  -7.154358    ,  0.2423096E-01,  -3.393677    , -0.1208801    ,  0.9956665    ,  0.2195606E-02,   1.421672    ,   77225.01    ,
           1980,            291,   127.0741    ,   99.44938    ,  0.2103015    ,   253.0431    ,   317.1593    ,  0.1089478    ,   20.94610    ,   13.51408    ,   1.196375    ,   2.020691    ,  0.5382996    ,   8.231406    ,  -1.707886    ,  0.2227783E-02, -0.2730103    , -0.1181946    ,  0.9863892    ,  0.4460647E-02,   1.296136    ,   77270.29    ,
           1980,            292,   117.1561    ,   91.25037    ,  0.2143233    ,   243.3124    ,   306.8161    ,  -2.191650    ,   24.77440    ,   11.01641    ,  -8.486272    ,   1.291046    ,  -2.416565    ,   8.255674    ,  -3.086792    ,  0.7385254E-02, -0.7595215    , -0.1068420    ,  0.9743042    ,  0.4399592E-02,  0.8877012    ,   77645.50    ,
           1980,            293,   94.46635    ,   72.12092    ,  0.2226353    ,   269.4151    ,   309.0583    ,  -1.558807    ,   22.58744    ,   10.35467    ,  -3.843494    , -0.2349854E-01,  -2.021240    ,   8.279808    ,  -2.293030    ,   0.000000    , -0.5217896    , -0.1026306    ,  0.9627991    ,  0.4016742E-02,   1.247712    ,   77856.57    ,
           1980,            294,   100.9942    ,   74.04746    ,  0.2555804    ,   259.1730    ,   302.1884    ,  -3.099213    ,   23.47241    ,   9.364449    ,  -5.995611    , -0.9069824    ,  -3.214294    ,   8.268763    ,  -2.329834    ,   0.000000    , -0.5687256    , -0.8404541E-01,  0.9508667    ,  0.4103462E-02,   2.099264    ,   77393.47    ,
           1980,            295,   60.35705    ,   35.96904    ,  0.3912120    ,   254.9714    ,   280.5042    ,  -8.023956    ,   8.514037    ,   11.35853    ,  -7.573935    ,  -5.101837    ,  -7.297791    ,   8.296157    ,  -4.578369    ,   0.000000    ,  -1.858154    , -0.8193970E-01,  0.9387207    ,  0.2634910E-02,   2.018232    ,   77267.38    ,
           1980,            296,   71.66281    ,   42.73111    ,  0.3859794    ,   246.4043    ,   272.9619    ,  -9.871429    ,   16.44425    ,   8.003403    ,  -8.193416    ,  -7.943970    ,  -9.062561    ,   8.349390    ,  -5.783997    ,   0.000000    ,  -2.291412    , -0.9368896E-01,  0.9295654    ,  0.2154542E-02,  0.9685557    ,   77796.54    ,
           1980,            297,   117.1237    ,   72.63244    ,  0.3644258    ,   179.2754    ,   240.1673    ,  -18.53578    ,   17.66316    ,   11.82123    ,  -16.97132    ,  -7.605713    ,  -15.85678    ,   8.351490    ,  -10.94711    ,   0.000000    ,  -4.257294    , -0.1028748    ,  0.9211121    ,  0.1983104E-02,  0.9418303    ,   77905.12    ,
           1980,            298,   98.26235    ,   61.50183    ,  0.3568746    ,   223.3677    ,   265.2189    ,  -11.90723    ,   8.387608    ,   14.89226    ,  -10.51122    ,  -4.830261    ,  -10.30939    ,   8.304870    ,  -7.990723    ,   0.000000    ,  -3.224579    , -0.1256714    ,  0.9148560    ,  0.2033776E-02,  0.8530198    ,   77604.27    ,
           1980,            299,   54.85653    ,   33.83463    ,  0.3670736    ,   269.2982    ,   288.4534    ,  -6.205750    ,   10.59394    ,   7.421801    ,  -5.192502    ,  -3.950928    ,  -5.785034    ,   8.255574    ,  -4.321716    ,   0.000000    ,  -1.757629    , -0.1376343    ,  0.9064331    ,  0.2802555E-02,  0.8656994    ,   76756.16    ,
           1980,            300,   55.10307    ,   30.68625    ,  0.4220003    ,   275.1633    ,   290.7670    ,  -5.590881    ,   8.907493    ,   10.41455    ,  -2.995832    ,  -4.982880    ,  -4.743744    ,   8.239043    ,  -2.531738    ,   0.000000    , -0.9140625    , -0.1454163    ,  0.8956909    ,  0.3074206E-02,  0.9063963    ,   76695.73    ,
           1980,            301,   73.47504    ,   41.55721    ,  0.4096881    ,   252.9177    ,   276.4563    ,  -8.984375    ,   15.21904    ,   8.905964    ,  -4.853905    ,  -7.576202    ,  -8.153320    ,   8.316956    ,  -3.922577    ,   0.000000    ,  -1.398895    , -0.1661377    ,  0.8846130    ,  0.2399150E-02,  0.8244389    ,   77690.98    ,
